id,area,feature,detection_method,evidence_source,twenty_native,n8n_role,disposition_hypothesis,notes
CV-01,Conversations & Inbox,Unified inbox,api,raw/conversations.json,none,none,ESCALATE,"Twenty has no inbox. Email threads sync to records only."
CV-02,Conversations & Inbox,SMS conversations,api,raw/conversations.json,none,none,ESCALATE,"No SMS in Twenty."
CV-03,Conversations & Inbox,WhatsApp,api,raw/conversations.json,none,primary,ESCALATE,"n8n can route via a provider; needs vendor decision."
CV-04,Conversations & Inbox,Facebook / Instagram DM,api,raw/conversations.json,none,primary,ESCALATE,"Vendor decision."
CV-05,Conversations & Inbox,Google Business Messages,api,raw/conversations.json,none,primary,ESCALATE,"Vendor decision."
CV-06,Conversations & Inbox,Live chat widget,ui,ui-observation,none,none,ESCALATE,"No equivalent."
CV-07,Conversations & Inbox,Snippets / canned replies,api,raw/templates_sms.json,none,supporting,ESCALATE,"Tied to the inbox that does not exist."
EM-01,Email & Templates,Email templates,api,raw/templates_email.json,partial,supporting,TWENTY+N8N,"Twenty Send Email has no template library. Templates live in n8n or the sending vendor."
EM-02,Email & Templates,Drag-and-drop email builder,api,raw/email_builder_templates.json,none,none,ESCALATE,"editorData is not readable back via API — HTML export only. Rebuild cost is real."
EM-03,Email & Templates,Bulk / campaign email send,api,raw/campaigns.json,none,partial,ESCALATE,"HARD CEILING. Twenty Send Email = synced mailbox, one recipient per action."
EM-04,Email & Templates,Drip sequences,api,raw/campaigns.json,partial,primary,TWENTY+N8N,"n8n Wait + Twenty Delay can sequence; sending still needs a vendor."
EM-05,Email & Templates,Trigger links / click tracking,api,raw/trigger_links.json,none,primary,N8N,"n8n webhook redirect can reproduce this."
EM-06,Email & Templates,Dedicated sending domain / DKIM / SPF,ui,ui-observation,none,none,ESCALATE,"Deliverability infrastructure. Vendor decision."
EM-07,Email & Templates,Unsubscribe / suppression list,ui,ui-observation,none,partial,ESCALATE,"Compliance-critical. Must not be lost at cutover."
EM-08,Email & Templates,Email verification,ui,ui-observation,none,primary,N8N,"n8n plus a verification API."
EM-09,Email & Templates,Scheduled email sends,api,raw/email_schedules.json,partial,primary,TWENTY+N8N,"Twenty schedule trigger plus n8n."
SM-01,SMS & Telephony,SMS sending,api,raw/templates_sms.json,none,partial,ESCALATE,"HARD CEILING. Vendor decision."
SM-02,SMS & Telephony,Phone numbers (LC Phone),ui,ui-observation,none,none,ESCALATE,"Number ownership and porting. Vendor decision."
SM-03,SMS & Telephony,A2P 10DLC registration,ui,ui-observation,none,none,ESCALATE,"Regulatory registration is tied to the number provider. Long lead time — flag early."
SM-04,SMS & Telephony,Inbound call routing / IVR,ui,ui-observation,none,none,ESCALATE,"Vendor decision."
SM-05,SMS & Telephony,Call recording,ui,ui-observation,none,none,ESCALATE,"Retention and consent implications."
SM-06,SMS & Telephony,Voicemail drop,ui,ui-observation,none,none,ESCALATE,"Vendor decision."
SM-07,SMS & Telephony,Missed-call text-back,ui,ui-observation,none,partial,ESCALATE,"Depends on telephony vendor."
AI-01,Voice & AI Features,Voice AI agents,api,raw/voice_ai_agents.json,none,partial,ESCALATE,"Export the prompts regardless of disposition — the prompt is the asset."
AI-02,Voice & AI Features,Conversation AI bot,ui,ui-observation,none,primary,N8N,"n8n plus LLM gateway can reproduce, if a channel exists to speak on."
AI-03,Voice & AI Features,Content AI,ui,ui-observation,none,primary,N8N,"n8n plus LLM gateway."
AI-04,Voice & AI Features,Reviews AI,ui,ui-observation,none,primary,N8N,"Depends on review platform access."
AI-05,Voice & AI Features,Workflow AI assistant,ui,ui-observation,none,none,DROP-CANDIDATE,"Authoring aid, not a running feature. Usually safe to drop."
CL-01,Calendars & Scheduling,Calendars and availability,api,raw/calendars.json,none,partial,ESCALATE,"Twenty has no booking engine."
CL-02,Calendars & Scheduling,Public booking pages,api,raw/calendars.json,none,none,ESCALATE,"Vendor decision — this is usually the most-missed feature at cutover."
CL-03,Calendars & Scheduling,Round-robin / team distribution,api,raw/calendar_groups.json,none,partial,ESCALATE,"Assignment logic can move to n8n; the booking surface cannot."
CL-04,Calendars & Scheduling,Appointment reminders,api,raw/workflows.json,partial,primary,TWENTY+N8N,"Sending channel still needs a vendor."
CL-05,Calendars & Scheduling,Booking volume (evidence),api,raw/calendar_events.json,n/a,n/a,UNKNOWN,"Evidence row. Zero bookings in 90 days makes CL-01..04 DROP candidates."
FS-01,Forms & Surveys,Forms,api,raw/forms.json,none,partial,ESCALATE,"Twenty has no public forms. n8n webhook plus a hosted form tool."
FS-02,Forms & Surveys,Form conditional logic,ui,ui-observation,none,partial,ESCALATE,"Depends on replacement form tool."
FS-03,Forms & Surveys,Surveys / quizzes,api,raw/surveys.json,none,partial,ESCALATE,"Same as FS-01."
FS-04,Forms & Surveys,Form submission volume (evidence),api,raw/form_submissions.json,n/a,n/a,UNKNOWN,"Evidence row. Drives DROP decisions across FS-01..03."
FS-05,Forms & Surveys,Survey submission volume (evidence),api,raw/survey_submissions.json,n/a,n/a,UNKNOWN,"Evidence row."
FW-01,Funnels & Websites,Funnels,api,raw/funnels.json,none,none,ESCALATE,"No equivalent. Confirm whether marketing owns these outside GHL already."
FW-02,Funnels & Websites,Websites / pages,api,raw/funnels.json,none,none,ESCALATE,"Check whether aspiretss.com is actually hosted here or on WordPress."
FW-03,Funnels & Websites,Order forms / upsells,ui,ui-observation,none,none,ESCALATE,"Commerce surface."
FW-04,Funnels & Websites,Custom domains,ui,ui-observation,none,none,ESCALATE,"DNS cutover — sequencing risk at go-live."
FW-05,Funnels & Websites,Tracking codes / pixels,ui,ui-observation,none,none,ESCALATE,"Move with whatever hosts the pages."
BL-01,Blogs & Content,Blog sites,api,raw/blog_sites.json,none,partial,ESCALATE,"Relevant to S-02 blog pipeline in the 82-item plan."
BL-02,Blogs & Content,Blog posts,api,raw/blog_sites.json,none,primary,ESCALATE,"n8n can publish to a replacement CMS."
BL-03,Blogs & Content,Blog authors / categories,api,raw/blog_authors.json,none,none,ESCALATE,"Moves with the CMS."
WF-01,Workflows & Automation,Workflow inventory,api,raw/workflows.json,partial,primary,TWENTY+N8N,"Metadata only from API. Count published vs draft."
WF-02,Workflows & Automation,Workflow internals (steps and actions),session,workflows/*.json,partial,primary,TWENTY+N8N,"NOT available on any public endpoint. Requires the authenticated-session route."
WF-03,Workflows & Automation,Workflow triggers,session,workflows/*.json,partial,primary,TWENTY+N8N,"Map each GHL trigger to a Twenty trigger or an n8n trigger."
WF-04,Workflows & Automation,If/else and conditional branching,session,workflows/*.json,partial,primary,N8N,"n8n Switch/IF. Twenty Filter is weaker."
WF-05,Workflows & Automation,Wait / delay steps,session,workflows/*.json,full,primary,TWENTY+N8N,"Both have this."
WF-06,Workflows & Automation,Goal / exit conditions,session,workflows/*.json,none,partial,N8N,"No native equivalent. Rebuild as explicit checks."
WF-07,Workflows & Automation,Math / formula operations,session,workflows/*.json,partial,primary,N8N,"n8n Code node."
WF-08,Workflows & Automation,Outbound webhooks from workflows,session,workflows/*.json,full,primary,TWENTY+N8N,"Twenty HTTP Request action."
WF-09,Workflows & Automation,Custom code steps,session,workflows/*.json,full,primary,TWENTY+N8N,"Twenty Code action plus n8n Code node."
WF-10,Workflows & Automation,Legacy campaigns (drip),api,raw/campaigns.json,none,primary,ESCALATE,"Often forgotten and still running. Check before assuming dead."
WF-11,Workflows & Automation,Workflow execution history / enrolment counts,session,ui-observation,n/a,n/a,UNKNOWN,"NOT exposed by the public API. This is the DROP evidence gap — see docs/02."
PY-01,Payments & Commerce,Products and prices,api,raw/products.json,partial,supporting,TWENTY+N8N,"Model as Twenty records; billing stays external."
PY-02,Payments & Commerce,Invoices,api,raw/invoices.json,none,partial,ESCALATE,"Twenty has no invoicing."
PY-03,Payments & Commerce,Estimates / quotes (CPQ),api,raw/estimates.json,none,partial,ESCALATE,"Known Twenty gap. Maps to SA-04/SA-05 in the 82-item plan."
PY-04,Payments & Commerce,Subscriptions / recurring billing,api,raw/payment_subscriptions.json,partial,supporting,ESCALATE,"Twenty can RECORD subscriptions (Service Subscription object) but cannot BILL them."
PY-05,Payments & Commerce,Payment processor connections,api,raw/payment_providers.json,none,none,ESCALATE,"Stripe/PayPal connection moves with the billing surface."
PY-06,Payments & Commerce,Coupons,api,raw/payment_coupons.json,none,none,ESCALATE,"Commerce surface."
PY-07,Payments & Commerce,Documents and contracts (e-sign),ui,ui-observation,none,partial,ESCALATE,"Vendor decision. Check whether legal already uses something else."
MC-01,Memberships & Courses,Courses / memberships,ui,ui-observation,none,none,ESCALATE,"Check overlap with aspireelearning.com — may already live there."
MC-02,Memberships & Courses,Client portal,ui,ui-observation,none,none,ESCALATE,"Vendor decision."
MC-03,Memberships & Courses,Communities,ui,ui-observation,none,none,DROP-CANDIDATE,"Frequently enabled and unused. Verify before escalating."
MC-04,Memberships & Courses,Certificates,ui,ui-observation,none,partial,ESCALATE,"Relevant to A-SAT training delivery."
RV-01,Reputation & Reviews,Review requests,ui,ui-observation,none,partial,ESCALATE,"Requires a sending channel."
RV-02,Reputation & Reviews,Review monitoring / widgets,ui,ui-observation,none,primary,N8N,"n8n plus platform APIs."
SO-01,Social & Ads,Social planner scheduling,api,raw/social_accounts.json,none,primary,N8N,"n8n plus platform APIs, or a dedicated tool."
SO-02,Social & Ads,Connected social accounts,api,raw/social_accounts.json,none,none,ESCALATE,"Reconnection effort at cutover."
SO-03,Social & Ads,Ad manager (Google / Facebook),ui,ui-observation,none,primary,N8N,"Confirm whether ads are actually run from GHL or natively."
RP-01,Reporting & Dashboards,Attribution reporting,ui,ui-observation,partial,supporting,TWENTY+N8N,"Cross-system attribution needs the AN-01 warehouse, not Twenty alone."
RP-02,Reporting & Dashboards,Call reporting,ui,ui-observation,none,none,ESCALATE,"Moves with telephony."
RP-03,Reporting & Dashboards,Appointment reporting,ui,ui-observation,none,supporting,ESCALATE,"Moves with scheduling."
RP-04,Reporting & Dashboards,Agent / user performance reporting,ui,ui-observation,partial,supporting,TWENTY+N8N,"Twenty views cover some of this."
RP-05,Reporting & Dashboards,Custom dashboards,ui,ui-observation,partial,supporting,TWENTY+N8N,"Twenty dashboards are less mature. Confirm what is actually watched."
US-01,Users & Permissions,User accounts and seats,api,raw/users.json,full,none,TWENTY,"Map to workspace members. Count active seats."
US-02,Users & Permissions,Roles and permission levels,api,raw/users.json,partial,none,TWENTY,"Twenty object-level roles. Field-level restriction is thinner."
US-03,Users & Permissions,Teams,api,raw/users.json,partial,none,TWENTY,"Confirm whether teams drive routing logic."
US-04,Users & Permissions,SSO,ui,ui-observation,partial,none,ESCALATE,"Twenty SSO is Organization-tier. Confirm whether Aspire requires it."
ST-01,Settings & Business Profile,Business profile / hours,api,raw/location_profile.json,partial,none,TWENTY,"Low effort."
ST-02,Settings & Business Profile,Custom menu links,api,raw/custom_menus.json,partial,none,TWENTY,"Minor."
ST-03,Settings & Business Profile,URL redirects,ui,ui-observation,none,none,ESCALATE,"Moves with hosting."
ST-04,Settings & Business Profile,Domains and DNS,ui,ui-observation,none,none,ESCALATE,"Sequencing risk at go-live."
IN-01,Integrations & Marketplace,Installed marketplace apps,ui,ui-observation,none,partial,UNKNOWN,"No public read endpoint. Must be enumerated by hand."
IN-02,Integrations & Marketplace,Native integrations (Stripe/Google/Meta/QuickBooks),ui,ui-observation,none,primary,N8N,"Each needs its own reconnection plan."
IN-03,Integrations & Marketplace,Zapier / Make connections,ui,ui-observation,none,primary,N8N,"Hidden automation often lives here. Check explicitly."
IN-04,Integrations & Marketplace,Inbound webhooks into GHL,ui,ui-observation,partial,primary,N8N,"External systems posting into GHL will break at cutover unless repointed."
AG-01,Agency & Multi-Location,Sub-account count,api,raw/sub_accounts.json,n/a,n/a,UNKNOWN,"Determines audit scope. Answer before estimating effort."
AG-02,Agency & Multi-Location,Snapshots,api,raw/snapshots.json,none,none,DROP-CANDIDATE,"Audit instrument rather than a feature to migrate."
AG-03,Agency & Multi-Location,SaaS mode / rebilling,ui,ui-observation,none,none,UNKNOWN,"Only relevant if Aspire resells GHL to clients. Confirm."
MD-01,Media & Assets,Media library,api,raw/media_files.json,partial,supporting,TWENTY+N8N,"Twenty attachments cover records; hosted assets for pages do not move."
MO-01,Mobile & Field Access,Mobile app,ui,ui-observation,none,none,ESCALATE,"Twenty has no native mobile app. Confirm whether anyone actually uses the GHL app."
